timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206378985,2741,1290,1853,2766,1754,533,75183,14223,1,6,1548206377982.0,1.003,131.336
1548206379989,7829,14373,10671,8116,5436,4550,582659,67426,1,6,1548206378985.0,1.004,132.34
1548206380985,1629,4430,9310,3264,2964,5490,537147,23139,1,6,1548206379989.0,0.996,133.336
1548206381985,7248,3857,4523,7559,2293,3928,137406,48513,1,6,1548206380985.0,1.0,134.336
1548206382973,15963,12075,14838,31396,18988,9679,651290,158540,1,6,1548206381985.0,0.988,135.324
1548206383972,3979,13600,2640,4828,829,2582,41891,6122,1,6,1548206382973.0,0.999,136.323
1548206384971,16610,3273,6575,13378,8466,5432,70172,36686,1,6,1548206383972.0,0.999,137.322
1548206385958,10023,32249,7007,8225,5637,8430,30583,35682,1,6,1548206384971.0,0.987,138.309
1548206386957,9393,20413,12645,10523,6943,9308,642701,54210,1,6,1548206385958.0,0.999,139.308
1548206387939,15234,9617,21856,52900,12415,8405,638607,183129,1,6,1548206386957.0,0.982,140.29
1548206388926,32021,18720,16552,8566,7766,9149,463800,512093,1,6,1548206387939.0,0.987,141.277
1548206389932,37921,24222,36238,17576,4197,14789,131875,85335,1,6,1548206388926.0,1.006,142.283
1548206390943,46731,44053,11568,27878,16198,8356,632258,55549,1,6,1548206389932.0,1.011,143.294
1548206391928,4744,11525,3243,11044,3283,4296,8048,21715,1,6,1548206390943.0,0.985,144.279
1548206392928,7982,2487,5391,4541,3626,7635,11694,9045,1,6,1548206391928.0,1.0,145.279
1548206393931,17152,21495,8533,9481,3797,13908,69138,235653,1,6,1548206392928.0,1.003,146.282
1548206394913,6293,10669,14146,10188,7247,8432,1218270,91269,1,6,1548206393931.0,0.982,147.264
1548206395913,18642,21922,7557,13937,4504,5244,137983,25907,1,6,1548206394913.0,1.0,148.264
1548206396897,28043,29866,7306,11648,7260,3676,81564,72230,1,6,1548206395913.0,0.984,149.248
1548206397900,9283,23617,11376,15526,1723,1289,574543,46872,1,6,1548206396897.0,1.003,150.251
1548206398886,13355,10297,4410,3436,439,650,397054,5028,1,6,1548206397900.0,0.986,151.237
1548206399900,9086,5456,2627,2797,771,1056,217029,96165,1,6,1548206398886.0,1.014,152.251
1548206400884,7613,30191,4846,8622,2461,6916,737457,107565,1,6,1548206399900.0,0.984,153.235
1548206401868,4114,2129,964,1275,236,675,230752,10427,1,6,1548206400884.0,0.984,154.219
1548206402890,5981,19240,7106,6232,11928,6184,44738,8925,1,6,1548206401868.0,1.022,155.241
1548206403871,2646,1921,1903,1719,748,964,91508,35715,1,6,1548206402890.0,0.981,156.222
1548206404871,2660,2418,1110,2458,884,631,116347,9677,1,6,1548206403871.0,1.0,157.222
1548206405853,17637,12327,8150,23871,8493,6433,1234964,231256,1,6,1548206404871.0,0.982,158.204
1548206406857,17042,15438,15961,28657,4948,9918,369609,38695,1,6,1548206405853.0,1.004,159.208
1548206407841,39289,60622,22479,29598,13127,13845,1086644,342765,1,6,1548206406857.0,0.984,160.192
1548206408841,786,672,1878,2135,1153,1227,100998,34564,1,6,1548206407841.0,1.0,161.192
1548206409836,13128,35463,19486,32760,5613,7728,504920,75702,1,6,1548206408841.0,0.995,162.187
1548206410838,80222,139286,19325,101496,22207,29466,774706,684653,1,6,1548206409836.0,1.002,163.189
1548206411821,534404,364766,47226,22695,173916,56580,1624075,1040555,1,6,1548206410838.0,0.983,164.172
1548206412828,38424,101322,27513,63475,10862,6936,65004,144523,1,6,1548206411821.0,1.007,165.179
1548206413868,27367,14847,3194,9056,3057,2693,1365005,64365,1,6,1548206412828.0,1.04,166.219
1548206414810,12156,12087,13228,11364,16636,6027,989709,187863,1,6,1548206413868.0,0.942,167.161
1548206415813,4745,8597,2386,3484,3881,3423,254789,29525,1,6,1548206414810.0,1.003,168.164
1548206416799,21387,17584,2802,6411,4168,2112,269838,148753,1,6,1548206415813.0,0.986,169.15
1548206417798,12769,33488,14542,12005,14027,20823,494832,169511,1,6,1548206416799.0,0.999,170.149
1548206418798,16929,3995,1650,1313,1600,2247,352212,39960,1,6,1548206417798.0,1.0,171.149
1548206419783,5639,7455,12140,8824,4659,13467,28246,10459,1,6,1548206418798.0,0.985,172.134
1548206420767,542,4148,628,2375,421,784,66018,2764,1,6,1548206419783.0,0.984,173.118
1548206421771,18064,16376,28165,11137,7392,13023,760817,189295,1,6,1548206420767.0,1.004,174.122
1548206422773,3795,5006,12135,5584,5354,9696,44335,42893,1,6,1548206421771.0,1.002,175.124
1548206423769,11319,52442,9217,28500,6170,3023,132119,90245,1,6,1548206422773.0,0.996,176.12
1548206424771,3583,8803,1625,4060,1549,2864,166557,48978,1,6,1548206423769.0,1.002,177.122
1548206425737,3358,2720,3043,5262,2002,3094,5941,10453,1,6,1548206424771.0,0.966,178.088
1548206426756,2499,16963,4854,12311,2974,5204,96646,106468,1,6,1548206425737.0,1.019,179.107
1548206427757,16706,19639,9104,5654,6594,5610,82194,19877,1,6,1548206426756.0,1.001,180.108
1548206428740,18126,96992,15062,23717,9004,12948,1160202,499985,1,6,1548206427757.0,0.983,181.091
1548206429722,2133,3274,664,354,914,942,75112,6251,1,6,1548206428740.0,0.982,182.073
1548206430741,2263,4955,908,838,698,412,110728,7450,1,6,1548206429722.0,1.019,183.092
1548206431715,1286,5581,3006,7797,726,2966,123356,30113,1,6,1548206430741.0,0.974,184.066
1548206432732,10821,3477,4296,2291,4958,2602,193318,75709,1,6,1548206431715.0,1.017,185.083
1548206433731,23327,50106,41406,24902,11237,9089,3785629,195300,1,6,1548206432732.0,0.999,186.082
1548206434695,2386,10741,2707,6368,2368,1138,69712,58871,1,6,1548206433731.0,0.964,187.046
1548206435721,3673,2385,6096,8014,3869,6468,33406,30892,1,6,1548206434695.0,1.026,188.072
1548206436713,3737,11280,6262,3214,3154,2367,15694,11553,1,6,1548206435721.0,0.992,189.064
1548206437696,6119,7052,7683,6065,4224,5326,85566,37880,1,6,1548206436713.0,0.983,190.047
1548206438704,4092,6642,3761,2645,1429,1780,156236,11253,1,6,1548206437696.0,1.008,191.055
1548206439699,6179,22094,7080,6624,8919,6272,33422,18826,1,6,1548206438704.0,0.995,192.05
1548206440683,50199,20809,20205,8018,16276,16949,183539,124062,1,6,1548206439699.0,0.984,193.034
1548206441689,3772,1880,2868,1010,3677,948,71280,61618,1,6,1548206440683.0,1.006,194.04
1548206442684,2036,2311,5016,2424,3462,2249,3989,4941,1,6,1548206441689.0,0.995,195.035
1548206443669,4347,5383,10915,1971,1609,2018,12253,12460,1,6,1548206442684.0,0.985,196.02
1548206444662,5141,5778,5869,2697,3641,3291,3403,8023,1,6,1548206443669.0,0.993,197.013
1548206445654,3452,6231,3148,4512,3486,1973,7202,10397,1,6,1548206444662.0,0.992,198.005
1548206446638,2641,2166,6685,8348,2029,3843,19834,15994,1,6,1548206445654.0,0.984,198.989
1548206447650,2733,2502,5735,4683,2944,2536,89685,34742,1,6,1548206446638.0,1.012,200.001
1548206448642,1459,2825,7666,3859,2185,4141,9872,4595,1,6,1548206447650.0,0.992,200.993
1548206449626,1989,7198,3723,495,4148,2392,36851,26248,1,6,1548206448642.0,0.984,201.977
1548206450622,1377,2377,568,863,403,162,98022,7758,1,6,1548206449626.0,0.996,202.973
1548206451624,9998,11866,3911,2277,4068,2255,20649,15383,1,6,1548206450622.0,1.002,203.975
1548206452626,948,2040,8907,4488,4664,3413,3923,4290,1,6,1548206451624.0,1.002,204.977
1548206453612,4644,1362,6033,2132,2823,5735,3158,9855,1,6,1548206452626.0,0.986,205.963
1548206454593,5460,8421,3447,4023,7604,2912,6296,27139,1,6,1548206453612.0,0.981,206.944
1548206455596,2414,4773,4523,608,1826,5189,4541,7354,1,6,1548206454593.0,1.003,207.947
1548206456613,8711,6247,4811,8257,3514,2903,7791,17935,1,6,1548206455596.0,1.017,208.964
1548206457589,4501,1904,5891,4547,935,5151,17185,17278,1,6,1548206456613.0,0.976,209.94
1548206458598,15599,5608,13106,5042,4600,4726,16397,34928,1,6,1548206457589.0,1.009,210.949
1548206459584,4860,3051,3144,748,700,806,43783,30120,1,6,1548206458598.0,0.986,211.935
1548206460568,3068,2755,4371,3876,2025,5631,2646,3728,1,6,1548206459584.0,0.984,212.919
1548206461583,22664,8645,6554,5787,3867,2530,18860,25370,1,6,1548206460568.0,1.015,213.934
1548206462570,8885,13222,9851,13650,2244,5512,9092,8387,1,6,1548206461583.0,0.987,214.921
1548206463567,2380,1775,1547,2087,1192,1475,156885,7423,1,6,1548206462570.0,0.997,215.918
1548206464571,6653,2602,2811,2782,1002,1618,151019,38678,1,6,1548206463567.0,1.004,216.922
1548206465539,5468,33542,16522,17444,6504,9734,38669,34377,1,6,1548206464571.0,0.968,217.89
1548206466536,6805,10404,7479,4906,1377,1771,21609,34132,1,6,1548206465539.0,0.997,218.887
1548206467545,1521,7183,2516,9316,898,3388,21074,7529,1,6,1548206466536.0,1.009,219.896
